사업장명칭,주사육업종,사업장소재지(지번),사육두수,동수,면적,데이터기준일자,관리부서 전화번호
대명농장,한우,전라남도 곡성군 겸면 대명리 701번지 2호  ,0,1,926.5,2024-08-28,061-360-8363
참샘골목장 2,한우,"전라남도 곡성군 옥과면 옥과리 584-2, 584-9, 691-1, 691-2, 691-3 ",0,1,200,2024-08-28,061-360-8363
미남농장,한우,"전라남도 곡성군 곡성읍 장선리 304-1, 304-2 ",0,1,1750,2024-08-28,061-360-8363
가정농장,한우,전라남도 곡성군 겸면 가정리 812번지 3호  ,0,1,2304,2024-08-28,061-360-8363
한우별장 2농장,한우,전라남도 곡성군 입면 약천리 184번지 6호  ,0,1,300,2024-08-28,061-360-8363
밭두렁농원,한우,전라남도 곡성군 겸면 운교리 206번지 2호  ,0,1,900,2024-08-28,061-360-8363
송림사슴농장,사슴,"전라남도 곡성군 오산면 청단리 410, 산30 ",0,1,210,2024-08-28,061-360-8363
외길목장 2,한우,"전라남도 곡성군 입면 삼오리 400, 401, 401-1 ",0,1,800,2024-08-28,061-360-8363
중현농장,한우,전라남도 곡성군 목사동면 공북리 191번지 7호  ,0,1,540,2024-08-28,061-360-8363
최덕농장,한우,"전라남도 곡성군 겸면 가정리 851-1,-2,-3,-24 ",0,1,396,2024-08-28,061-360-8363
미희농장,한우,전라남도 곡성군 곡성읍 학정리 281번지 2호  ,0,1,220,2024-08-28,061-360-8363
따순동농장,한우,전라남도 곡성군 겸면 평장리 239번지 15호  ,0,1,500,2024-08-28,061-360-8363
광산농장,한우,전라남도 곡성군 옥과면 주산리 1008번지 6호  ,0,1,191,2024-08-28,061-360-8363
인창농장,한우,"전라남도 곡성군 곡성읍 죽동리 349번지 , 349-3 ",0,1,300,2024-08-28,061-360-8363
황등2농장,한우,"전라남도 곡성군 옥과면 소룡리 933-1, 933-3, 933-4 ",0,1,800,2024-08-28,061-360-8363
옥수농산,한우,전라남도 곡성군 옥과면 수리 382번지  ,0,3,775,2024-08-28,061-360-8363
설옥 2농장,한우,"전라남도 곡성군 옥과면 리문리 1번지 3호 2-3,4-2,-3,5-2,6-2,-3,14,17-15,리문리216-4,210-19,-22 ",0,1,471,2024-08-28,061-360-8363
섬진축산,한우,전라남도 곡성군 고달면 뇌죽리 493번지 17호  ,0,1,1100,2024-08-28,061-360-8363
대별농장,한우,전라남도 곡성군 겸면 남양리 129번지  ,0,1,298,2024-08-28,061-360-8363
호산나농장,한우,전라남도 곡성군 곡성읍 동산리 216번지 8호  ,0,1,1400,2024-08-28,061-360-8363
연태팜,종계/산란계,전라남도 곡성군 오산면 조양리 724번지  ,0,1,2184,2024-08-28,061-360-8363
은미농장,한우,전라남도 곡성군 죽곡면 신풍리 292번지  ,0,1,410,2024-08-28,061-360-8363
우림농장,한우,전라남도 곡성군 고달면 목동리 1119-2번지  ,0,1,969,2024-08-28,061-360-8363
선희농장,한우,전라남도 곡성군 입면 서봉리 909번지 7호  ,0,1,400,2024-08-28,061-360-8363
소언니목장,한우,"전라남도 곡성군 겸면 현정리 219-10, 219-11 ",0,1,1134,2024-08-28,061-360-8363
천만농장 2,한우,"전라남도 곡성군 고달면 백곡리 946-1, 948, 960 ",0,1,400,2024-08-28,061-360-8363
기동목장,한우,"전라남도 곡성군 죽곡면 화양리 247, 248 ",0,1,576,2024-08-28,061-360-8363
지동목장,한우,전라남도 곡성군 옥과면 죽림리 603번지 3호  ,0,1,200,2024-08-28,061-360-8363
하람농장,한우,전라남도 곡성군 입면 입석리 585번지 9호  ,0,1,300,2024-08-28,061-360-8363
삼용농장,산양,전라남도 곡성군 옥과면 리문리 116번지  ,0,1,368.6,2024-08-28,061-360-8363
해동농장,한우,전라남도 곡성군 곡성읍 신리 144번지 2호  ,0,1,168,2024-08-28,061-360-8363
선우목장 2농장,한우,전라남도 곡성군 곡성읍 신월리 295번지  ,0,1,1380,2024-08-28,061-360-8363
마전농장,한우,전라남도 곡성군 겸면 마전리 677번지 1호  ,0,2,1988,2024-08-28,061-360-8363
신 하나농장,한우,전라남도 곡성군 옥과면 소룡리 909번지 1호  ,0,1,1400,2024-08-28,061-360-8363
오산목장,한우,전라남도 곡성군 오산면 봉동리 449번지 1호  ,0,1,251,2024-08-28,061-360-8363
장욱농장,한우,전라남도 곡성군 곡성읍 신월리 224번지 4호 외 1 ,0,1,1575,2024-08-28,061-360-8363
임농장,한우,전라남도 곡성군 옥과면 합강리 84번지 2호  ,0,1,134,2024-08-28,061-360-8363
동막2농장,한우,전라남도 곡성군 곡성읍 신월리 296번지 1호  ,0,1,850,2024-08-28,061-360-8363
하늘재농원,산양,전라남도 곡성군 겸면 운교리 131번지  ,0,1,18,2024-08-28,061-360-8363
선한농부,종계/산란계,전라남도 곡성군 고달면 목동리 76번지 1호  ,0,1,312,2024-08-28,061-360-8363
대성농장 2,한우,전라남도 곡성군 죽곡면 신풍리 270번지 4호  ,0,1,845,2024-08-28,061-360-8363
해피2농장,육계,전라남도 곡성군 겸면 가정리 288번지  ,28000,2,1536.84,2024-08-28,061-360-8363
천지봉농원,한우,전라남도 곡성군 입면 입석리 46번지 2호  ,0,1,200,2024-08-28,061-360-8363
시원농장,한우,전라남도 곡성군 겸면 대명리 687번지 5호  ,0,1,810,2024-08-28,061-360-8363
금산농장 2,한우,전라남도 곡성군 입면 입석리 585번지 6호  ,0,1,1150,2024-08-28,061-360-8363
대룡축산,한우,전라남도 곡성군 입면 대장리 507번지 2호  ,0,1,504,2024-08-28,061-360-8363
태양 1농장,한우,전라남도 곡성군 곡성읍 서계리 140번지 12호  ,0,1,353.7,2024-08-28,061-360-8363
태경농장2,한우,전라남도 곡성군 곡성읍 장선리 295번지 1호  ,0,1,400,2024-08-28,061-360-8363
아리울농장,한우,전라남도 곡성군 죽곡면 봉정리 966번지 4호  ,0,1,486,2024-08-28,061-360-8363
가족농장,한우,전라남도 곡성군 목사동면 용봉리 564번지  ,0,1,900,2024-08-28,061-360-8363
토리농장,오리,"전라남도 곡성군 입면 송전리 1149번지 3호 , 1149-4, 1149-5 ",0,6,4627.2,2024-08-28,061-360-8363
