사업장명칭,축종분류,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,관리기관명
효원농장,우제류,한우,경기도 양주시 광적면 덕도리 7103,경기도 양주시 광적면 화합로248번길 60,75,양주시 농업기술센터 축산과
대양목장,우제류,한우,경기도 양주시 남면 한산리 462,경기도 양주시 남면 삼육사로 32479,30,양주시 농업기술센터 축산과
오가네농장,우제류,염소,경기도 양주시 남면 입암리 2511,"경기도 양주시 평화로1429번길 50,상가동 104호 (덕계동,한주아파트)",42,양주시 농업기술센터 축산과
성우농장,우제류,염소,경기도 양주시 광적면 덕도리 546,경기도 양주시 광적면 광적로392번길 66,25,양주시 농업기술센터 축산과
대길농장,가금류,육계,경기도 양주시 남면 구암리 373,경기도 양주시 남면 감악산로216번길 124,50000,양주시 농업기술센터 축산과
유림,우제류,한우,경기도 양주시 백석읍 오산리 2261,경기도 양주시 백석읍 중앙로254번길 241,2,양주시 농업기술센터 축산과
염소장,우제류,염소,경기도 양주시 남면 상수리 155,경기도 양주시 남면 운하로 17,24,양주시 농업기술센터 축산과
정훈농장,우제류,한우,경기도 양주시 남면 입암리 1382,,24,양주시 농업기술센터 축산과
창유,우제류,염소,경기도 양주시 율정동 142,경기도 양주시 율정로139번길 127 (율정동),20,양주시 농업기술센터 축산과
이천농장,우제류,염소,경기도 양주시 광적면 가납리 2612,경기도 양주시 광적면 그루고개로221번길 13330,20,양주시 농업기술센터 축산과
준영축산,가금류,종계,경기도 양주시 백석읍 가업리 471,경기도 양주시 백석읍 중앙로223번길 17820,32436,양주시 농업기술센터 축산과
