사업장명칭,주사육업종,사육두수,사업장소재지(도로명),사업장소재지(지번),전화,데이터기준일
비거농장,한우,14,전라북도 순창군 복흥면 가인로 19-10,전라북도 순창군 복흥면 정산리 231번지 5호  ,063-653-6975,2022-11-10
익수농장,한우,22,전라북도 순창군 유등면 건곡로 72,전라북도 순창군 유등면 건곡리 1234번지  ,063-653-8537,2022-11-10
문수농장,한우,4,,전라북도 순창군 금과면 방축리 산 80번지  ,,2022-11-10
다래농장,한우,129,전라북도 순창군 유등면 유화로 99-16,전라북도 순창군 유등면 무수리  ,,2022-11-10
현대농장,한우,8,전라북도 순창군 유등면 건곡로  159,전라북도 순창군 유등면 건곡리 803번지 1호  ,,2022-11-10
기태농장,한우,24,전라북도 순창군 풍산면 아미로 571-13,전라북도 순창군 풍산면 죽곡리 707번지  ,063-653-3369,2022-11-10
숲에서 온 유정란,종계/산란계,5000,"전라북도 순창군 적성면 마계길 26, 외 2필지",전라북도 순창군 적성면 괴정리 241번지 1호  ,063-652-4629,2022-11-10
명수농장,한우,1,전라북도 순창군 풍산면 두승2길 11-20,전라북도 순창군 풍산면 두승리 815번지 2호  ,063-652-1216,2022-11-10
병구농장,한우,2,전라북도 순창군 구림면 화암1길 8-3,전라북도 순창군 구림면 화암리 534번지  ,063-652-8775,2022-11-10
봉섭농장,한우,10,전라북도 순창군 복흥면 가인로 663-2,전라북도 순창군 복흥면 답동리 116번지  ,063-653-7909,2022-11-10
점용농장,한우,5,,전라북도 순창군 복흥면 답동리 177번지  ,063-653-0157,2022-11-10
양고개농장,한우,12,,전라북도 순창군 동계면 이동리 508번지 2호 478번지 ,063-653-5172,2022-11-10
운정한우농장,한우,12,,전라북도 순창군 동계면 주월리 263번지  ,063-652-4906,2022-11-10
화장농장,한우,5,전라북도 순창군 구림면 금상길 27,전라북도 순창군 구림면 금창리 440번지  ,063-652-9392,2022-11-10
금순농장,한우,2,전라북도 순창군 구림면 구암둔기길 90-7,전라북도 순창군 구림면 구암리 755번지  ,,2022-11-10
정환농장,한우,7,전라북도 순창군 구림면 남정2길 1-6,전라북도 순창군 구림면 운남리 701번지  ,063-652-8666,2022-11-10
종락농장,한우,2,,전라북도 순창군 구림면 화암리 609번지 1호  ,,2022-11-10
병수농장,한우,5,전라북도 순창군 구림면 구산로 122,전라북도 순창군 구림면 구산리 194번지  ,063-653-4627,2022-11-10
하마농장,한우,9,전라북도 순창군 복흥면 백방2길 38-38,전라북도 순창군 복흥면 서마리 401번지  ,,2022-11-10
한성농장,한우,9,전라북도 순창군 복흥면 백방2길 38-38,전라북도 순창군 복흥면 서마리 401번지  ,063-652-5650,2022-11-10
송영농장,한우,0,전라북도 순창군 복흥면 백방2길 38-13,전라북도 순창군 복흥면 서마리 387번지  ,,2022-11-10
송림농원,한우,5,전라북도 순창군 복흥면 금월2길 48,전라북도 순창군 복흥면 금월리 355번지  ,063-652-7840,2022-11-10
용식농장,한우,9,전라북도 순창군 복흥면 금월2길 39-11,전라북도 순창군 복흥면 금월리 284번지  ,063-652-5733,2022-11-10
재원농장,한우,11,전라북도 순창군 복흥면 금월로 231,전라북도 순창군 복흥면 금월리 805번지  ,063-652-8150,2022-11-10
병일농장,한우,100,전라북도 순창군 복흥면 금월로 242-46,"전라북도 순창군 복흥면 금월리 253번지 3호 254, 253-4 ",061-381-5511,2022-11-10
율평농장,한우,7,,전라북도 순창군 복흥면 주평리 220번지 5호  ,063-652-7727,2022-11-10
길두농장,한우,2,전라북도 순창군 구림면 방화2길 6-2,전라북도 순창군 구림면 방화리 220번지  ,063-652-8597,2022-11-10
재호농장,한우,4,전라북도 순창군 구림면 오정길 3-14,전라북도 순창군 구림면 월정리 455번지  ,063-652-9367,2022-11-10
옥용농장,한우,3,전라북도 순창군 구림면 밤재로 31-2,전라북도 순창군 구림면 월정리 327번지  ,063-652-0508,2022-11-10
권영농장,한우,12,전라북도 순창군 구림면 통안길 24-32,전라북도 순창군 구림면 율북리 125번지  ,063-652-9082,2022-11-10
기호농장,한우,4,전라북도 순창군 구림면 화암1길 8-13,전라북도 순창군 구림면 화암리 526번지  ,,2022-11-10
기주농장,한우,15,전라북도 순창군 풍산면 우곡길 36-1,전라북도 순창군 풍산면 우곡리 33번지  ,063-652-9494,2022-11-10
영옥농장,한우,40,전라북도 순창군 구림면 구인로 325-64,전라북도 순창군 구림면 구산리 12번지 2호  ,,2022-11-10
형원농장,한우,12,전라북도 순창군 구림면 자양로 96,전라북도 순창군 구림면 자양리 207번지 1호  ,063-652-8602,2022-11-10
신축산농장,한우,6,전라북도 순창군 인계면 지산길 149,전라북도 순창군 인계면 지산리 787번지 1호  ,063-653-3207,2022-11-10
병문농장,한우,0,전라북도 순창군 팔덕면 광덕로 700-6,전라북도 순창군 팔덕면 청계리 745번지  ,063-652-6888,2022-11-10
영섭농장,한우,23,,전라북도 순창군 쌍치면 시산리 167번지  ,,2022-11-10
기동농장,한우,4,전라북도 순창군 쌍치면 용전길 149-26,전라북도 순창군 쌍치면 용전리 341번지  ,063-653-6920,2022-11-10
승리농장,한우,51,전라북도 순창군 인계면 양지뜸길 20-52,전라북도 순창군 인계면 지산리 1204번지  ,,2022-11-10
윤근농장,한우,10,,전라북도 순창군 쌍치면 방산리 182번지  ,063-652-3831,2022-11-10
병희농장,한우,25,전라북도 순창군 인계면 서남로 15,전라북도 순창군 인계면 갑동리 1085번지  ,,2022-11-10
희재농장,염소,50,,전라북도 순창군 쌍치면 중안리 150번지  ,,2022-11-10
성환농장,한우,5,,전라북도 순창군 구림면 방화리 605번지 2호  ,,2022-11-10
용목농장,한우,2,,전라북도 순창군 구림면 안정리 435번지  ,,2022-11-10
주연농장,한우,25,전라북도 순창군 인계면 인성로 479-21,전라북도 순창군 인계면 마흘리 846번지  ,063-652-7360,2022-11-10
김종근,한우,5,전라북도 순창군 팔덕면 백암길 96-1,전라북도 순창군 팔덕면 서흥리 394번지  ,063-652-5339,2022-11-10
권창주,한우,2,전라북도 순창군 인계면 도사2길 62-8,전라북도 순창군 인계면 도룡리 1067번지 2호  ,063-652-7358,2022-11-10
덕진농장,한우,12,전라북도 순창군 인계면 노동로 221-17,전라북도 순창군 인계면 노동리 417번지 2호  ,063-652-06388,2022-11-10
민지농장,한우,36,,전라북도 순창군 순창읍 복실리 27번지 6호  ,,2022-11-10
금과농장,한우,20,,전라북도 순창군 금과면 남계리 433번지  ,,2022-11-10
교원농장,한우,6,,전라북도 순창군 인계면 지산리 1232번지 6호  ,063-652-3386,2022-11-10
행복농장,오리,9500,전라북도 순창군 동계면 귀미로 18,전라북도 순창군 동계면 관전리 707번지  ,,2022-11-10
칠립농장,한우,5,전라북도 순창군 복흥면 금월2길 40-11,전라북도 순창군 복흥면 금월리 358번지 1호  ,063-652-7705,2022-11-10
교춘농장,한우,120,전라북도 순창군 풍산면 풍산로 249,전라북도 순창군 풍산면 우곡리 304번지  ,,2022-11-10
청산,한우,9,전라북도 순창군 순창읍 장류로 101-41,전라북도 순창군 순창읍 백산리 222번지  ,,2022-11-10
덕상농장,한우,9,전라북도 순창군 쌍치면 양사길 51,전라북도 순창군 쌍치면 양신리 54번지 3호  ,063-653-1798,2022-11-10
창석,한우,52,전라북도 순창군 구림면 방화로 217,전라북도 순창군 구림면 방화리 297번지 1호  ,,2022-11-10
성두농장,한우,37,전라북도 순창군 풍산면 삼촌1길 62,전라북도 순창군 풍산면 삼촌리 656번지  ,063-653-4424,2022-11-10
모란농장,육계,70000,,전라북도 순창군 금과면 청용리 870번지  ,,2022-11-10
순용농장,한우,2,,전라북도 순창군 복흥면 농암리 266번지 1호  ,,2022-11-10
농업회사법인 주식회사 한닭,육계,50000,,전라북도 순창군 금과면 고례리 55번지  ,063-842-8151,2022-11-10
동아축산,한우,60,전라북도 순창군 순창읍 가잠로 122-23 (외3필지),전라북도 순창군 순창읍 가남리 691번지 외3필지 ,,2022-11-10
초원농장,염소,100,,전라북도 순창군 풍산면 금곡리 167번지 외6필지 ,,2022-11-10
미리농장,한우,26,,전라북도 순창군 동계면 내령리 455번지 1호  ,063-652-3954,2022-11-10
다솜농장,한우,12,전라북도 순창군 복흥면 하리길 169-20,전라북도 순창군 복흥면 하리 1011번지  ,,2022-11-10
월명농장,한우,4,전라북도 순창군 풍산면 월명길 65-16,전라북도 순창군 풍산면 반월리 344번지 1호  ,063-652-5535,2022-11-10
회덕농장,한우,20,전라북도 순창군 풍산면 회덕길 45-3,전라북도 순창군 풍산면 유정리 141번지  ,,2022-11-10
웰빙농장,한우,40,전라북도 순창군 인계면 노동로 377-110,전라북도 순창군 인계면 갑동리 273번지 1호  ,,2022-11-10
재영농장,한우,15,전라북도 순창군 풍산면 죽곡로 55,전라북도 순창군 풍산면 죽곡리 966번지  ,,2022-11-10
토지2농장,오리,25000,,"전라북도 순창군 동계면 현포리 842번지 13호 ,842-14 ",,2022-11-10
가작농장,한우,11,전라북도 순창군 동계면 가작길 16-4,전라북도 순창군 동계면 수장리 1213번지 3호  ,063-653-1227,2022-11-10
전익주 농장,한우,11,전라북도 순창군 동계면 동계로 480-3,전라북도 순창군 동계면 수장리 401번지 2호  ,063-653-1150,2022-11-10
한마음 농장,한우,17,전라북도 순창군 동계면 동계로 477-10,전라북도 순창군 동계면 수장리 45번지 5호  ,063-652-0476,2022-11-10
건호농장,한우,30,,전라북도 순창군 순창읍 교성리 683번지 2호  ,063-652-0447,2022-11-10
박광연축사,한우,17,전라북도 순창군 인계면 용암길 162-32,전라북도 순창군 인계면 도룡리 1463번지 3호  ,,2022-11-10
영수농장,한우,25,전라북도 순창군 쌍치면 방산1길 107,전라북도 순창군 쌍치면 방산리 461번지  ,,2022-11-10
아리울농장,한우,40,,전라북도 순창군 동계면 신흥리 665번지  ,,2022-11-10
현문농장,종계/산란계,52000,전라북도 순창군 동계면 가작길  37,전라북도 순창군 동계면 822번지  ,,2022-11-10
명성농장,한우,20,,전라북도 순창군 풍산면 한내리 890번지 3호  ,,2022-11-10
키움농장,한우,50,,전라북도 순창군 쌍치면 방산리 520번지  ,,2022-11-10
쌍둥이농장,한우,4,,전라북도 순창군 쌍치면 용전리 75번지 4호  ,,2022-11-10
부부농장,한우,25,전라북도 순창군 구림면 성곡로 81,전라북도 순창군 구림면 성곡리 807번지  ,,2022-11-10
수민농장,한우,9,,전라북도 순창군 복흥면 어은리 768번지  ,,2022-11-10
영구네농장,한우,58,,전라북도 순창군 구림면 방화리 893번지  ,,2022-11-10
금대농장,한우,113,전라북도 순창군 풍산면 풍산로 494-19,전라북도 순창군 풍산면 대가리  ,,2022-11-10
유황황토한우농장,한우,6,,전라북도 순창군 복흥면 대방리 461번지  ,,2022-11-10
청계리농장,오리,8000,,"전라북도 순창군 팔덕면 청계리 620번지 1호 ,620-4 ",,2022-11-10
둥지농원,한우,49,,전라북도 순창군 구림면 월정리 509번지 3호  ,,2022-11-10
금우농장,한우,125,전라북도 순창군 구림면 자양로 330-6,전라북도 순창군 구림면 화암리 1681번지  ,,2022-11-10
범안골 유황 유정란,종계/산란계,1000,전라북도 순창군 풍산면 용내길 82-95,전라북도 순창군 풍산면 죽전리 4번지  ,,2022-11-10
외양실농장,한우,80,,전라북도 순창군 복흥면 주평리 471번지  ,,2022-11-10
심원농장,육계,50000,전라북도 순창군 풍산면 아미로 361-11,전라북도 순창군 풍산면 죽곡리 477번지  ,,2022-11-10
석산농장,한우,16,전라북도 순창군 적성면 석산길 42-15,전라북도 순창군 적성면 석산리 353번지  ,,2022-11-10
팜스월드 그린농장,한우,135,전라북도 순창군 유등면 향가로 117-74,"전라북도 순창군 유등면 창신리 829번지 , 830 , 831 , 832 ",,2022-11-10
순창 자연 양돈,돼지,40,,전라북도 순창군 유등면 건곡리 766번지 3호  ,,2022-11-10
대영농장,한우,11,,전라북도 순창군 복흥면 산정리 775번지  ,,2022-11-10
석탄골농장,한우,150,,전라북도 순창군 쌍치면 방산리 10번지 외1필지 ,,2022-11-10
꿈꾸는농장,한우,34,전라북도 순창군 유등면 유적로 148,전라북도 순창군 유등면 무수리 297번지 1호  ,,2022-11-10
발산흑염소농장,염소,400,전라북도 순창군 금과면 발산길 105-35,전라북도 순창군 금과면 발산리 137번지  ,,2022-11-10
시풍농장,한우,24,,전라북도 순창군 구림면 자양리 781번지  ,,2022-11-10
화양농장,한우,42,,전라북도 순창군 복흥면 화양리 13번지 4호  ,,2022-11-10
남호농장,한우,13,전라북도 순창군 구림면 광암로 676-33,전라북도 순창군 구림면 구암리 58번지  ,063-6535855,2022-11-10
화암농장,한우,2,전라북도 순창군 구림면 화암1길 26,전라북도 순창군 구림면 화암리 614번지 1호  ,,2022-11-10
광암농장,한우,51,,전라북도 순창군 팔덕면 광암리 270번지 17호  ,,2022-11-10
농업회사법인 가농 유한회사,육계,200000,전라북도 순창군 동계면 강동로 520-22,전라북도 순창군 동계면 어치리 196번지 2호  ,,2022-11-10
양수농장,한우,25,,전라북도 순창군 팔덕면 광암리 602번지  ,,2022-11-10
동천농장,한우,10,,전라북도 순창군 구림면 운남리 981번지 981-1번지 ,,2022-11-10
김성근농장,한우,7,,전라북도 순창군 팔덕면 광암리 283번지 11호  ,,2022-11-10
영진농장,한우,20,전라북도 순창군 인계면 도사2길 12-17,전라북도 순창군 인계면 도룡리 881번지 1호  ,,2022-11-10
홍의동농장,한우,2,,전라북도 순창군 순창읍 신남리 715 ,063-653-4909,2022-11-10
시온농장,염소,300,,전라북도 순창군 인계면 마흘리 289번지  ,,2022-11-10
방산농장,한우,90,,전라북도 순창군 쌍치면 방산리 521번지  ,,2022-11-10
청정농원,한우,3,,전라북도 순창군 유등면 오교리 921번지 17호  ,,2022-11-10
금우농장,한우,250,전라북도 순창군 구림면 자양로 330-6,전라북도 순창군 구림면 화암리 1681번지  ,,2022-11-10
선길농장,한우,20,전라북도 순창군 인계면 쌍암길 55,    ,,2022-11-10
홍덕,한우,5,전라북도 순창군 구림면 구곡로  323,전라북도 순창군 구림면 154번지  ,,2022-11-10
영두농장,한우,23,,전라북도 순창군 쌍치면 운암리 217번지 1호  ,,2022-11-10
춘자농장,한우,5,전라북도 순창군 쌍치면 시산길 9-4,전라북도 순창군 쌍치면 시산리 170번지 1호  ,,2022-11-10
규남농장,한우,2,전라북도 순창군 쌍치면 피노길  23-2,전라북도 순창군 쌍치면 272번지 1호  ,,2022-11-10
대근농장,한우,60,전라북도 순창군 쌍치면 피노길  8,전라북도 순창군 쌍치면 325번지 1호  ,,2022-11-10
기종농장,염소,50,전라북도 순창군 쌍치면 국사봉로 271,전라북도 순창군 쌍치면 종암리 산 29번지  ,,2022-11-10
윤식농장,한우,2,전라북도 순창군 적성면 농소길  51-4,전라북도 순창군 적성면 502번지 1호  ,,2022-11-10
복규농장,한우,1,전라북도 순창군 적성면 서림길  7-1,전라북도 순창군 적성면 125번지 1호  ,,2022-11-10
석섭농장,한우,16,전라북도 순창군 적성면 내적길  2,전라북도 순창군 적성면 646번지 1호  ,,2022-11-10
동대농장,한우,50,전라북도 순창군 구림면 방화로 124-47,전라북도 순창군 구림면 방화리 955번지  ,,2022-11-10
꼬맹이네 흑염소 목장,산양,500,전라북도 순창군 풍산면 곡순로  2657-50,전라북도 순창군 풍산면 53번지  ,,2022-11-10
정종농장,한우,2,전라북도 순창군 팔덕면 태자동길  5,전라북도 순창군 팔덕면 502번지 5호  ,,2022-11-10
흥수농장,한우,10,전라북도 순창군 팔덕면 팔왕길  47-4,전라북도 순창군 팔덕면 448번지 2호  ,,2022-11-10
세현농장,한우,54,전라북도 순창군 팔덕면 팔덕로  460-79,전라북도 순창군 팔덕면 667번지 3호  ,,2022-11-10
일남농장,한우,3,전라북도 순창군 팔덕면 월곡1길  20-5,전라북도 순창군 팔덕면 437번지 1호  ,,2022-11-10
운식농장,한우,1,전라북도 순창군 팔덕면 월곡1길  30-1,전라북도 순창군 팔덕면 371번지  ,,2022-11-10
양식농장,한우,4,전라북도 순창군 팔덕면 백암길  48-3,전라북도 순창군 팔덕면 69번지  ,,2022-11-10
길엽농장,한우,1,전라북도 순창군 팔덕면 백암길  32-5,전라북도 순창군 팔덕면 110번지 1호  ,,2022-11-10
회일농장,한우,2,전라북도 순창군 팔덕면 평창길  25-6,전라북도 순창군 팔덕면 551번지  ,,2022-11-10
재술농장,한우,2,전라북도 순창군 팔덕면 동구지길  30-6,전라북도 순창군 팔덕면 260번지 1호  ,,2022-11-10
인식농장,한우,2,전라북도 순창군 팔덕면 동구지길  30-4,전라북도 순창군 팔덕면 259번지 1호  ,,2022-11-10
순주농장,한우,30,전라북도 순창군 순창읍 순화로  7,전라북도 순창군 순창읍 386번지 1호  ,,2022-11-10
순창금산흑염소농장,산양,800,전라북도 순창군 팔덕면 광암로 165,"전라북도 순창군 팔덕면 광암리 54번지 1호 , 54-3 , 54-6 ",,2022-11-10
인수농장,산양,20,전라북도 순창군 팔덕면 동구지길  33-24,전라북도 순창군 팔덕면 1051번지  ,,2022-11-10
현원농장,염소,90,,전라북도 순창군 팔덕면 월곡리 1188번지  ,,2022-11-10
필환농장,염소,450,전라북도 순창군 팔덕면 팔덕로 462-22,전라북도 순창군 팔덕면 월곡리 1336번지  ,,2022-11-10
찬호농장,산양,170,전라북도 순창군 팔덕면 강천로  302,전라북도 순창군 팔덕면 459번지 1호  ,,2022-11-10
돈필농장,염소,220,전라북도 순창군 팔덕면 팔덕로 156-10,전라북도 순창군 팔덕면 산동리 1094번지  ,,2022-11-10
길만농장,염소,300,,전라북도 순창군 팔덕면 산동리 863번지  ,,2022-11-10
성구농장,염소,400,,전라북도 순창군 팔덕면 산동리 759번지  ,,2022-11-10
승호농장,사슴,30,전라북도 순창군 팔덕면 월곡로  107,전라북도 순창군 팔덕면 2번지  ,,2022-11-10
풍악산농장,한우,4,전라북도 순창군 동계면 강촌길  58,전라북도 순창군 동계면 237번지  ,,2022-11-10
강억농장,한우,2,전라북도 순창군 동계면 수장1길  91,전라북도 순창군 동계면 635번지 1호  ,,2022-11-10
강희농장,한우,2,전라북도 순창군 동계면 수장1길  103,전라북도 순창군 동계면 606번지  ,,2022-11-10
현택농장,한우,2,전라북도 순창군 동계면 강촌길  28-40,전라북도 순창군 동계면 98번지  ,,2022-11-10
환호농장,한우,1,전라북도 순창군 동계면 관전길  17,전라북도 순창군 동계면 227번지 1호  ,,2022-11-10
병팔농장,한우,3,전라북도 순창군 동계면 서호길  39-8,전라북도 순창군 동계면 360번지  ,,2022-11-10
칠선농장,산양,300,전라북도 순창군 동계면 동심길  30-3,전라북도 순창군 동계면 1269번지 1호  ,,2022-11-10
재남농장,한우,4,전라북도 순창군 동계면 신관전길  26,전라북도 순창군 동계면 493번지  ,,2022-11-10
재규농장,한우,7,전라북도 순창군 동계면 내령길  56-16,전라북도 순창군 동계면 390번지  ,,2022-11-10
병국농장,한우,21,전라북도 순창군 동계면 서호길  21-7,전라북도 순창군 동계면 440번지  ,,2022-11-10
영규농장,한우,4,전라북도 순창군 동계면 수장1길  98-10,전라북도 순창군 동계면 557번지 1호  ,,2022-11-10
정기농장,한우,0,전라북도 순창군 동계면 주월1길 131-3,    ,,2022-11-10
질재골 방목 흑염소,산양,1000,전라북도 순창군 구림면 질재길  99-42,전라북도 순창군 구림면 231번지  ,,2022-11-10
샘골 흑염소 농장,산양,700,전라북도 순창군 구림면 밤재로  39-6,전라북도 순창군 구림면 320번지 1호  ,,2022-11-10
삭골 흑염소 농장,산양,700,전라북도 순창군 구림면 삭골길  153,전라북도 순창군 구림면 572번지 2호  ,,2022-11-10
밤재 흑염소,산양,650,전라북도 순창군 구림면 밤재로  535,전라북도 순창군 구림면 472번지 8호  ,,2022-11-10
산내들 흑염소,산양,700,,"전라북도 순창군 구림면 월정리 475번지 1호 , 469-1, 569, 산148-5 ",,2022-11-10
일웅 농장,한우,3,전라북도 순창군 구림면 안동길  53-4,전라북도 순창군 구림면 407번지 1호  ,,2022-11-10
길수농장,한우,1,전라북도 순창군 구림면 산내길  270-3,전라북도 순창군 구림면 738번지 1호  ,,2022-11-10
병두농장,한우,2,전라북도 순창군 구림면 산내길  238-17,전라북도 순창군 구림면 725번지  ,,2022-11-10
영태농장,한우,1,전라북도 순창군 구림면 봉곡1길  23-1,전라북도 순창군 구림면 259번지 1호  ,,2022-11-10
현철농장,한우,6,전라북도 순창군 구림면 봉곡1길  36,전라북도 순창군 구림면 240번지  ,,2022-11-10
성만농장,한우,2,전라북도 순창군 구림면 봉곡1길  35,전라북도 순창군 구림면 252번지 2호  ,,2022-11-10
정식농장,한우,2,전라북도 순창군 구림면 봉곡1길  41-1,전라북도 순창군 구림면 362번지  ,,2022-11-10
래열 농장,한우,1,전라북도 순창군 구림면 자양로  228-9,전라북도 순창군 구림면 511번지 1호  ,,2022-11-10
일중농장,한우,1,전라북도 순창군 구림면 이암길  9-9,전라북도 순창군 구림면 234번지 1호  ,,2022-11-10
연임농장,한우,1,전라북도 순창군 구림면 이암길  9-1,전라북도 순창군 구림면 238번지 1호  ,,2022-11-10
해곤농장,한우,1,전라북도 순창군 구림면 남정1길  21-5,전라북도 순창군 구림면 663번지 1호  ,,2022-11-10
일섭농장,한우,2,전라북도 순창군 구림면 운곡길  40-1,전라북도 순창군 구림면 895번지  ,,2022-11-10
정두농장,한우,2,전라북도 순창군 구림면 구림로  458,전라북도 순창군 구림면 218번지 3호  ,,2022-11-10
택진농장,한우,1,전라북도 순창군 구림면 구림로  497-2,전라북도 순창군 구림면 316번지 2호  ,,2022-11-10
로순농장,한우,4,전라북도 순창군 구림면 금평길  10-4,전라북도 순창군 구림면 313번지  ,,2022-11-10
기만농장,한우,3,전라북도 순창군 구림면 금평길  10,전라북도 순창군 구림면 306번지 1호  ,,2022-11-10
성순농장,한우,2,전라북도 순창군 구림면 구림로  494-4,전라북도 순창군 구림면 330번지  ,,2022-11-10
병우농장,한우,1,전라북도 순창군 구림면 연산1길  34,전라북도 순창군 구림면 269번지 12호  ,,2022-11-10
은성농장,한우,17,,전라북도 순창군 구림면 율북리 816번지  ,,2022-11-10
태수농장,한우,8,전라북도 순창군 구림면 금평길  20-13,전라북도 순창군 구림면 357번지 1호  ,,2022-11-10
문호농장,한우,10,,전라북도 순창군 구림면 구암리 879번지 1호 외 1필지 ,,2022-11-10
오석농장,한우,9,,전라북도 순창군 구림면 방화리 303번지 2호  ,,2022-11-10
평기농장,한우,5,전라북도 순창군 구림면 방화1길 33,전라북도 순창군 구림면 방화리 783번지 13호  ,,2022-11-10
형기농장,한우,2,전라북도 순창군 구림면 방화1길 33,전라북도 순창군 구림면 방화리 783번지 13호  ,,2022-11-10
영묵농장,한우,7,전라북도 순창군 구림면 동정자길 20,전라북도 순창군 구림면 구곡리 394번지  ,,2022-11-10
종곤농장,한우,4,,전라북도 순창군 구림면 구곡리 443번지  ,,2022-11-10
영상농장,한우,21,전라북도 순창군 구림면 중리길  3-36,전라북도 순창군 구림면 525번지  ,,2022-11-10
정기농장,한우,2,,전라북도 순창군 구림면 구곡리 673번지  ,,2022-11-10
홍섭농장,한우,19,,전라북도 순창군 구림면 성곡리 617번지 3호  ,,2022-11-10
명구농장,한우,12,,전라북도 순창군 구림면 구곡리 745번지 2호  ,,2022-11-10
흑염소농장,산양,180,전라북도 순창군 구림면 밤재로 80-29,전라북도 순창군 구림면 월정리  ,,2022-11-10
몽순농장,한우,4,전라북도 순창군 구림면 율리길  118,전라북도 순창군 구림면 774번지 1호  ,,2022-11-10
형이농장,한우,4,전라북도 순창군 구림면 봉곡2길  15-6,전라북도 순창군 구림면 315번지  ,,2022-11-10
승용 농장,한우,7,전라북도 순창군 순창읍 광암로  30,전라북도 순창군 순창읍 912번지  ,,2022-11-10
상기농장,한우,13,전라북도 순창군 순창읍 남산1길 36,전라북도 순창군 순창읍 가남리 459번지  ,,2022-11-10
근휴농장,한우,8,전라북도 순창군 순창읍 신남무수길  48-4,전라북도 순창군 순창읍 420번지  ,,2022-11-10
찬주농장,한우,2,전라북도 순창군 순창읍 곡순로  3122-32,전라북도 순창군 순창읍 945번지 2호  ,,2022-11-10
영오농장,사슴,2,전라북도 순창군 복흥면 백방1길  107-4,전라북도 순창군 복흥면 639번지  ,,2022-11-10
신석농장,한우,16,전라북도 순창군 풍산면 향가로 225-12,전라북도 순창군 풍산면 상촌리 380번지 6호  ,,2022-11-10
성균농장,한우,1,전라북도 순창군 풍산면 향가로  560-13,전라북도 순창군 풍산면 12번지  ,,2022-11-10
성만농장,한우,9,,전라북도 순창군 풍산면 금곡리 212번지  ,,2022-11-10
진남농장,한우,2,전라북도 순창군 풍산면 대가2길  44,전라북도 순창군 풍산면 870번지  ,,2022-11-10
푸른농장,산양,54,전라북도 순창군 복흥면 용지길  7-20,전라북도 순창군 복흥면 279번지 2호  ,,2022-11-10
대방농장,사슴,2,전라북도 순창군 복흥면 용지길  80,전라북도 순창군 복흥면 59번지  ,,2022-11-10
태식농장,한우,4,전라북도 순창군 복흥면 동산길  27-9,전라북도 순창군 복흥면 296번지 1호  ,,2022-11-10
철승농장,한우,3,전라북도 순창군 복흥면 안산길  24,전라북도 순창군 복흥면 453번지 1호  ,,2022-11-10
장대석농장,한우,10,,전라북도 순창군 복흥면 봉덕리 614번지 1호 외 1필지 ,,2022-11-10
농암농장,한우,10,전라북도 순창군 복흥면 농암2길  8,전라북도 순창군 복흥면 265번지 1호  ,,2022-11-10
산골농장,한우,3,전라북도 순창군 복흥면 어은길  228-1,전라북도 순창군 복흥면 635번지  ,,2022-11-10
상일농장,한우,8,전라북도 순창군 복흥면 무림길  39,전라북도 순창군 복흥면 638번지 1호  ,,2022-11-10
정동농장,한우,5,전라북도 순창군 복흥면 정동길  17,전라북도 순창군 복흥면 368번지 1호  ,,2022-11-10
정동농장,한우,2,전라북도 순창군 복흥면 정동길  18,전라북도 순창군 복흥면 367번지 1호  ,,2022-11-10
한동농장,한우,3,전라북도 순창군 복흥면 정동길  32,전라북도 순창군 복흥면 594번지  ,,2022-11-10
외오농장,한우,54,전라북도 순창군 복흥면 산정길  44-9,전라북도 순창군 복흥면 415번지  ,,2022-11-10
외오농장,한우,1,전라북도 순창군 복흥면 산정길  44-9,전라북도 순창군 복흥면 415번지  ,,2022-11-10
지우농장,한우,6,,전라북도 순창군 복흥면 주평리 137번지  ,,2022-11-10
송정농장,한우,1,전라북도 순창군 복흥면 심적길 33-1,    ,,2022-11-10
대복농장,한우,5,전라북도 순창군 복흥면 답동3길  14-4,전라북도 순창군 복흥면 240번지 3호  ,,2022-11-10
태성농장,한우,3,전라북도 순창군 복흥면 답동3길  28-13,전라북도 순창군 복흥면 286번지  ,,2022-11-10
석규농장,한우,7,전라북도 순창군 복흥면 가인로  651-1,전라북도 순창군 복흥면 118번지 3호  ,,2022-11-10
문용농장,한우,1,전라북도 순창군 복흥면 석보길  42-6,전라북도 순창군 복흥면 231번지 19호  ,,2022-11-10
홍무농장,한우,2,전라북도 순창군 인계면 용암길  84-33,전라북도 순창군 인계면 145번지  ,,2022-11-10
학수농장,한우,25,전라북도 순창군 인계면 세룡길  24-11,전라북도 순창군 인계면 434번지  ,,2022-11-10
용수농장,한우,1,전라북도 순창군 인계면 둔기길  42-6,전라북도 순창군 인계면 179번지 2호  ,,2022-11-10
북실농장,한우,1,전라북도 순창군 인계면 동촌길  53,전라북도 순창군 인계면 230번지 1호  ,,2022-11-10
두표농장,한우,3,전라북도 순창군 인계면 도사1길  19,전라북도 순창군 인계면 1007번지 1호  ,,2022-11-10
소야농장,한우,350,전라북도 순창군 인계면 대마길 67-92,전라북도 순창군 인계면 마흘리 733번지  ,,2022-11-10
종윤농장,한우,7,전라북도 순창군 인계면 노동로  202-15,전라북도 순창군 인계면 438번지 2호  ,,2022-11-10
