농가명,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,데이터 기준일자
금오농장,한우,경상북도 포항시 남구 장기면 마현리 292번지 29호  ,,7,2025-08-14
시릿골 농장,한우,경상북도 포항시 북구 신광면 죽성리 499번지  ,,16,2025-08-14
호순농장,한우,경상북도 포항시 남구 동해면 중흥리 140번지  ,경상북도 포항시 남구 동해면 흥환길 106-29,4,2025-08-14
만석군농장,한우,경상북도 포항시 북구 신광면 만석리 487번지  ,경상북도 포항시 북구 신광면 비학로1098번길 58-80,42,2025-08-14
대형농장1호,한우,경상북도 포항시 북구 신광면 흥곡리 715번지 1호  ,경상북도 포항시 북구 신광면 흥곡길 119-33,0,2025-08-14
이레농장,한우,경상북도 포항시 북구 기계면 성계리 611번지  ,경상북도 포항시 북구 기계면 성계길 74-7,36,2025-08-14
신광한우농장,한우,경상북도 포항시 북구 신광면 사정리 640번지  ,경상북도 포항시 북구 신광면 비학로1098번길 12,30,2025-08-14
대덕농장,한우,경상북도 포항시 북구 흥해읍 덕성리 433번지 9호  ,경상북도 포항시 북구 흥해읍 덕실마을길 490-52,38,2025-08-14
동해농장,한우,경상북도 포항시 북구 흥해읍 마산리 348번지  ,경상북도 포항시 북구 흥해읍 신흥로885번길 44,7,2025-08-14
또또농장,한우,경상북도 포항시 북구 신광면 토성리 705번지 34호  ,경상북도 포항시 북구 신광면 신흥로 85,40,2025-08-14
신중앙 농장,한우,경상북도 포항시 북구 신광면 흥곡리 806번지  ,경상북도 포항시 북구 신광면 흥곡길127번길 40,95,2025-08-14
재연 농장,한우,경상북도 포항시 남구 호미곶면 구만리 277번지  ,경상북도 포항시 남구 호미곶면 보천길 68,25,2025-08-14
협성축산,한우,경상북도 포항시 북구 기계면 내단리 971번지 2호 외 1필지(970-1) ,경상북도 포항시 북구 기계면 새마을로1525번길 41,38,2025-08-14
초록농장,한우,경상북도 포항시 북구 신광면 죽성리 38번지 1호  ,경상북도 포항시 북구 신광면 비학로 823-25,64,2025-08-14
일광농장,한우,경상북도 포항시 북구 신광면 사정리 583번지 1호  ,경상북도 포항시 북구 신광면 사정안길 122-30,53,2025-08-14
대명농장,한우,경상북도 포항시 남구 연일읍 괴정리 333번지  ,경상북도 포항시 남구 연일읍 원서길 18-11,24,2025-08-14
자명농장,한우,경상북도 포항시 남구 연일읍 자명리 605번지  ,,10,2025-08-14
주왕산 한우농장,한우,경상북도 포항시 북구 신광면 상읍리 172번지  ,경상북도 포항시 북구 신광면 비학로855번길 4-15,148,2025-08-14
하늘농장,한우,경상북도 포항시 북구 신광면 우각리 430번지  ,경상북도 포항시 북구 신광면 비학로720번길 23-87,54,2025-08-14
솟발농장,한우,경상북도 포항시 남구 장기면 정천리 435번지 2호  ,경상북도 포항시 남구 장기면 방산로 1040-39,31,2025-08-14
청하 농장,한우,경상북도 포항시 북구 청하면 청계리 599번지  ,경상북도 포항시 북구 청하면 비학로 2055,9,2025-08-14
참 농장,한우,경상북도 포항시 북구 기계면 성계리 395번지  ,경상북도 포항시 북구 기계면 성계길 211-51,11,2025-08-14
곡강농장,한우,경상북도 포항시 북구 흥해읍 곡강리 609번지 1호  ,,43,2025-08-14
흥안농장1,한우,경상북도 포항시 북구 흥해읍 흥안리 938번지  ,경상북도 포항시 북구 흥해읍 칠포로 150,50,2025-08-14
망천농장,한우,경상북도 포항시 북구 흥해읍 망천리 328번지 10호  ,경상북도 포항시 북구 흥해읍 한동로 199-95,24,2025-08-14
고현축산,한우,경상북도 포항시 북구 청하면 고현리 139번지  ,,15,2025-08-14
용곡농장,한우,경상북도 포항시 북구 흥해읍 용곡리 110번지 3호  ,경상북도 포항시 북구 흥해읍 용연길 237-37,120,2025-08-14
구안농장,한우,경상북도 포항시 남구 연일읍 자명리 195번지 6호  ,경상북도 포항시 남구 연일읍 자명안길36번길 43,1,2025-08-14
장기 산골농장,한우,경상북도 포항시 남구 장기면 산서리 1030번지  ,경상북도 포항시 남구 장기면 산서길209번길 91,1,2025-08-14
신평농장,한우,경상북도 포항시 남구 장기면 신창리 812번지 2호  ,경상북도 포항시 남구 장기면 읍내길16번길 203-75,30,2025-08-14
엿재한우 농장,한우,경상북도 포항시 북구 신광면 반곡리 236번지  ,경상북도 포항시 북구 신광면 기반길 48-98,0,2025-08-14
혁 한우농장,한우,경상북도 포항시 남구 연일읍 오천리 396번지 15호  ,경상북도 포항시 남구 연일읍 철강로 136-24,84,2025-08-14
청솔농장,한우,경상북도 포항시 남구 대송면 장동리 24번지  ,경상북도 포항시 남구 대송면 운제로 254-25,7,2025-08-14
어미들 농장,한우,경상북도 포항시 남구 연일읍 오천리 607번지 13호  ,경상북도 포항시 남구 연일읍 철강로 118-66,12,2025-08-14
두마농장,한우,"경상북도 포항시 북구 죽장면 두마리 850번지 외 2필지(847,848) ",경상북도 포항시 북구 죽장면 면봉산길 825,40,2025-08-14
소동농장,한우,경상북도 포항시 북구 청하면 소동리 470번지  ,경상북도 포항시 북구 청하면 사방공원길 188-36,70,2025-08-14
초록2 농장,한우,    ,경상북도 포항시 북구 신광면 비학로 823-21,35,2025-08-14
그루터기농장,한우,경상북도 포항시 북구 흥해읍 덕장리 1207번지  ,경상북도 포항시 북구 흥해읍 덕실마을길 132-70,156,2025-08-14
한나농장,한우,경상북도 포항시 남구 호미곶면 강사리 808번지 3호  ,경상북도 포항시 남구 호미곶면 호미로1133번길 48,60,2025-08-14
새마을 농장,한우,경상북도 포항시 남구 오천읍 문충리 291번지 2호  ,경상북도 포항시 남구 오천읍 오어로298번길 1-5,11,2025-08-14
초록농장,한우,경상북도 포항시 남구 오천읍 갈평리 20번지 3호  ,경상북도 포항시 남구 오천읍 기림로 1669,13,2025-08-14
하나농장,한우,경상북도 포항시 북구 기계면 인비리 675번지 2호  ,경상북도 포항시 북구 기계면 기남길 476-23,18,2025-08-14
동아농장,한우,경상북도 포항시 북구 흥해읍 흥안리 178번지  ,경상북도 포항시 북구 흥해읍 칠포로 430-48,54,2025-08-14
자영농장,한우,경상북도 포항시 북구 흥해읍 망천리 544번지 1호  ,경상북도 포항시 북구 흥해읍 한동로106번길 28-91 (외 4필지),30,2025-08-14
해게울 목장,한우,경상북도 포항시 남구 장기면 산서리 791번지  ,경상북도 포항시 남구 장기면 산서길209번길 17-31,20,2025-08-14
푸른농장,한우,경상북도 포항시 남구 장기면 방산리 712번지  ,경상북도 포항시 남구 장기면 방산로 409-22,1,2025-08-14
진성농장,한우,경상북도 포항시 북구 죽장면 두마리 448번지 6호 외 1필지 ,경상북도 포항시 북구 죽장면 면봉산길 735,40,2025-08-14
사랑농장,한우,경상북도 포항시 북구 죽장면 두마리 548번지  ,,45,2025-08-14
하늘농장,한우,경상북도 포항시 북구 죽장면 두마리 505번지 2호  ,경상북도 포항시 북구 죽장면 면봉산길 776-47,6,2025-08-14
침곡농장,한우,경상북도 포항시 북구 죽장면 침곡리 258번지 3호  ,,10,2025-08-14
세국농장,한우,경상북도 포항시 북구 죽장면 정자리 69번지 1호  ,경상북도 포항시 북구 죽장면 정자길 45,19,2025-08-14
장신농장,한우,경상북도 포항시 북구 죽장면 정자리 397번지 2호  ,경상북도 포항시 북구 죽장면 새마을로2920번길 7,17,2025-08-14
손병화농장,한우,경상북도 포항시 북구 신광면 반곡리 442번지 2호  ,경상북도 포항시 북구 신광면 기반길 160,18,2025-08-14
다락골농장,한우,경상북도 포항시 북구 청하면 이가리 220번지 4호  ,경상북도 포항시 북구 청하면 용산길 392-3,33,2025-08-14
동원농장,한우,경상북도 포항시 북구 신광면 죽성리 580번지  ,경상북도 포항시 북구 신광면 죽성길 122-84,90,2025-08-14
수곡농장,한우,경상북도 포항시 북구 죽장면 합덕리 169번지 1호  ,,11,2025-08-14
멧돼지 농장,돼지,경상북도 포항시 북구 신광면 안덕리 1037번지  ,,35,2025-08-14
샘밭 농장,한우,경상북도 포항시 북구 죽장면 상옥리 770번지  ,,7,2025-08-14
한티농장,한우,경상북도 포항시 북구 기계면 가안리 768번지 5호  ,경상북도 포항시 북구 기계면 새마을로 2577-14,12,2025-08-14
기계한우농장,한우,경상북도 포항시 북구 기계면 문성리 191번지 1호  ,경상북도 포항시 북구 기계면 새마을발상지길116번길 66,13,2025-08-14
장포농장,한우,경상북도 포항시 남구 장기면 산서리  ,경상북도 포항시 남구 장기면 산서길 113-27 (외3필지),1,2025-08-14
홍성기농장,한우,경상북도 포항시 북구 기계면 문성리 330번지  ,경상북도 포항시 북구 기계면 새마을발상지길 137,15,2025-08-14
용호농장,한우,경상북도 포항시 북구 흥해읍 매산리 426번지  ,경상북도 포항시 북구 흥해읍 매산길 98-20,2,2025-08-14
지안농장,한우,경상북도 포항시 북구 기계면 미현리 119번지  ,경상북도 포항시 북구 기계면 기동지길 487-16,9,2025-08-14
신흥농장,한우,경상북도 포항시 북구 청하면 신흥리 194번지  ,경상북도 포항시 북구 청하면 사방공원길388번길 15-23,23,2025-08-14
해오름농장,한우,경상북도 포항시 북구 신광면 사정리 224번지 5호  ,경상북도 포항시 북구 신광면 사정길50번길 16-16,23,2025-08-14
정렬농장,한우,경상북도 포항시 북구 신광면 죽성리 242번지  ,경상북도 포항시 북구 신광면 비학로 823-33,12,2025-08-14
태화농장,한우,경상북도 포항시 북구 기계면 문성리 68번지  ,경상북도 포항시 북구 기계면 새마을발상지길75번길 100-24,12,2025-08-14
세계리농장,한우,경상북도 포항시 남구 오천읍 세계리 산 96번지  ,,6,2025-08-14
장길농장,한우,경상북도 포항시 남구 구룡포읍 장길리 37번지 1호  ,경상북도 포항시 남구 구룡포읍 동해안로4391번길 10-63,16,2025-08-14
아마골농장,한우,경상북도 포항시 남구 연일읍 중명리 375번지 외1필지 ,경상북도 포항시 남구 연일읍 원서길 250-9,52,2025-08-14
종기농장,한우,경상북도 포항시 북구 청하면 서정리 311번지 7호 외 1필지 ,,13,2025-08-14
영신농장,한우,경상북도 포항시 북구 청하면 청계리 718번지 1호  ,경상북도 포항시 북구 청하면 청계길 181-47,3,2025-08-14
삼청농장,한우,경상북도 포항시 북구 청하면 청계리 718번지 3호  ,경상북도 포항시 북구 청하면 청계길 181-49,11,2025-08-14
신성농장,한우,경상북도 포항시 북구 기계면 화대리 566번지  ,,38,2025-08-14
우리들농장,한우,    ,경상북도 포항시 북구 기계면 기남길 361-11,22,2025-08-14
태준농장,한우,경상북도 포항시 북구 흥해읍 남송리 944번지 8호  ,경상북도 포항시 북구 흥해읍 동해대로1392번길 135-23,41,2025-08-14
대덕목장,한우,경상북도 포항시 남구 호미곶면 강사리 808번지 4호  ,경상북도 포항시 남구 호미곶면 호미로1133번길 46,35,2025-08-14
황금들녘,한우,경상북도 포항시 북구 흥해읍 용천리 528번지 6호  ,경상북도 포항시 북구 흥해읍 칠포로 210-84,43,2025-08-14
성신한우농원,한우,경상북도 포항시 북구 흥해읍 용곡리 361번지  ,경상북도 포항시 북구 흥해읍 용연길266번길 13-11,28,2025-08-14
유성농장,한우,경상북도 포항시 남구 동해면 상정리 85번지 1호  ,경상북도 포항시 남구 동해면 정동길608번길 11-70,42,2025-08-14
범촌축산,한우,경상북도 포항시 북구 신광면 호리 680번지  ,경상북도 포항시 북구 신광면 호리길 99-3,0,2025-08-14
영일축산,한우,경상북도 포항시 북구 기계면 문성리 332번지  ,경상북도 포항시 북구 기계면 새마을발상지길 143,23,2025-08-14
쿄쿄패밀리,한우,경상북도 포항시 북구 신광면 흥곡리 713번지  ,경상북도 포항시 북구 신광면 흥곡길 119-35,38,2025-08-14
상읍농장,한우,경상북도 포항시 북구 신광면 상읍리 204번지  ,경상북도 포항시 북구 신광면 비학로 917-25,84,2025-08-14
포항축산농협 한우개량사업소,한우,경상북도 포항시 북구 기계면 인비리 796번지  ,경상북도 포항시 북구 기계면 봉좌로383번길 32-31,140,2025-08-14
도담한우농장,한우,경상북도 포항시 남구 동해면 금광리 755번지  ,경상북도 포항시 남구 동해면 약전로115번길 24-90,36,2025-08-14
땅끝농장,산양,경상북도 포항시 남구 호미곶면 강사리 814번지  ,경상북도 포항시 남구 호미곶면 일출로 717-62,70,2025-08-14
태현농장,한우,경상북도 포항시 북구 흥해읍 덕장리 211번지 4호  ,경상북도 포항시 북구 흥해읍 동해대로 1795-43,30,2025-08-14
명구농장,한우,경상북도 포항시 북구 신광면 죽성리 169번지  ,경상북도 포항시 북구 신광면 죽성길 38,16,2025-08-14
신성농장,한우,경상북도 포항시 북구 흥해읍 용전리 491번지  ,경상북도 포항시 북구 흥해읍 용전길 116-8,8,2025-08-14
소망농장,한우,경상북도 포항시 남구 호미곶면 대보리 704번지  ,경상북도 포항시 남구 호미곶면 해맞이로167번길 77,108,2025-08-14
한빛농장,한우,"경상북도 포항시 북구 신광면 죽성리 56번지 , 56-1 ",경상북도 포항시 북구 신광면 죽성길 24-42,45,2025-08-14
운대농장,한우,경상북도 포항시 남구 대송면 홍계리 301번지 5호  ,경상북도 포항시 남구 대송면 장동홍계길 402-31,25,2025-08-14
운주산 흑염소사슴농장,사슴,경상북도 포항시 북구 기계면 인비리 897번지  ,경상북도 포항시 북구 기계면 인비길45번길 22-1,230,2025-08-14
상은농장,한우,경상북도 포항시 북구 신광면 만석리 253번지  ,경상북도 포항시 북구 신광면 비학로 1227,26,2025-08-14
냉천목장,한우,경상북도 포항시 북구 송라면 하송리 146번지 23호  ,경상북도 포항시 북구 송라면 동해대로2732번길 77-37,12,2025-08-14
은이농장,한우,경상북도 포항시 북구 신광면 상읍리 762번지 2호  ,경상북도 포항시 북구 신광면 상읍길 223,41,2025-08-14
종농장,한우,경상북도 포항시 남구 연일읍 중명리 51번지 2호  ,경상북도 포항시 남구 연일읍 부조길 124-17,0,2025-08-14
대곡농장,한우,경상북도 포항시 북구 기북면 대곡리 1337번지  ,경상북도 포항시 북구 기북면 기북로264번길 33-16,29,2025-08-14
광명농장2,한우,경상북도 포항시 남구 오천읍 세계리 549번지 2호  ,경상북도 포항시 남구 오천읍 장기로1479번길 22,78,2025-08-14
우화농장,한우,경상북도 포항시 북구 기계면 화대리 624번지 1호  ,경상북도 포항시 북구 기계면 기동지길 101-25,60,2025-08-14
태산목장,한우,경상북도 포항시 북구 죽장면 상옥리 1472번지 4호  ,경상북도 포항시 북구 죽장면 죽장로1801번길 50,50,2025-08-14
봉도농장,한우,경상북도 포항시 북구 기북면 대곡리 1446번지  ,경상북도 포항시 북구 기북면 기북로 174-9,6,2025-08-14
다산농장,한우,경상북도 포항시 남구 호미곶면 구만리 243번지  ,,53,2025-08-14
한울소리,산양,경상북도 포항시 남구 동해면 금광리 790번지 6호  ,,70,2025-08-14
흥안농장,한우,경상북도 포항시 북구 흥해읍 흥안리 136번지  ,경상북도 포항시 북구 흥해읍 칠포로 430-45,5,2025-08-14
죽성농장,한우,경상북도 포항시 북구 신광면 죽성리 766번지  ,경상북도 포항시 북구 신광면 죽성길 125-51,0,2025-08-14
인정농장,한우,경상북도 포항시 남구 연일읍 중단리 499번지 2호  ,경상북도 포항시 남구 연일읍 원서길 234,20,2025-08-14
갈밭농장,한우,경상북도 포항시 북구 청하면 소동리 71번지 2호  ,경상북도 포항시 북구 청하면 용산길 8-18,15,2025-08-14
영순농장,한우,경상북도 포항시 북구 청하면 소동리 129번지  ,경상북도 포항시 북구 청하면 용산길 8-2,9,2025-08-14
백로농장,한우,경상북도 포항시 북구 신광면 죽성리 113번지  ,경상북도 포항시 북구 신광면 죽성길 85-30,19,2025-08-14
행운농장,한우,경상북도 포항시 북구 신광면 죽성리 116번지  ,,30,2025-08-14
대발농장,한우,경상북도 포항시 북구 신광면 상읍리 173번지 2호  ,경상북도 포항시 북구 신광면 비학로855번길 16,20,2025-08-14
석태농장,한우,경상북도 포항시 북구 신광면 안덕리 296번지 8호  ,경상북도 포항시 북구 신광면 안덕길 72,14,2025-08-14
비학산목장,산양,경상북도 포항시 북구 신광면 안덕리 932번지  ,경상북도 포항시 북구 신광면 안덕길89번길 143,230,2025-08-14
성현농장,한우,경상북도 포항시 북구 신광면 사정리 617번지  ,경상북도 포항시 북구 신광면 사정안길58번길 39-9,13,2025-08-14
희망농원,한우,경상북도 포항시 북구 신광면 사정리 402번지 2호  ,,22,2025-08-14
송재용농장,한우,경상북도 포항시 북구 신광면 사정리 556번지 1호  ,경상북도 포항시 북구 신광면 사정안길 120,9,2025-08-14
한율농원,한우,경상북도 포항시 남구 오천읍 문덕리 1100번지  ,경상북도 포항시 남구 오천읍 냉천로 748,4,2025-08-14
진전농장,한우,경상북도 포항시 남구 오천읍 진전리 307번지 1호  ,경상북도 포항시 남구 오천읍 기림로 1208-11,5,2025-08-14
영진농장,한우,경상북도 포항시 남구 연일읍 우복리 592번지  ,경상북도 포항시 남구 연일읍 연일로360번길 152,3,2025-08-14
자명농장,한우,경상북도 포항시 남구 연일읍 달전리 61번지  ,경상북도 포항시 남구 연일읍 동해대로 340,13,2025-08-14
양지농장,한우,경상북도 포항시 북구 신광면 토성리 210번지 2호  ,경상북도 포항시 북구 신광면 토성길83번길 37,29,2025-08-14
참푸른농장,한우,경상북도 포항시 북구 신광면 우각리 98번지  ,경상북도 포항시 북구 신광면 우각길87번길 3,20,2025-08-14
상근농장,한우,경상북도 포항시 북구 신광면 상읍리 644번지 3호  ,경상북도 포항시 북구 신광면 상읍길234번길 10,4,2025-08-14
해운농장,한우,경상북도 포항시 북구 신광면 반곡리 380번지 6호  ,경상북도 포항시 북구 신광면 기반길 116-21,5,2025-08-14
옥이농장,한우,경상북도 포항시 북구 신광면 우각리 682번지  ,경상북도 포항시 북구 신광면 비학로 668-31,4,2025-08-14
만석농장,한우,경상북도 포항시 북구 신광면 만석리 253번지 1호  ,경상북도 포항시 북구 신광면 비학로 1225,53,2025-08-14
분희농장,한우,경상북도 포항시 북구 흥해읍 매산리 163번지  ,경상북도 포항시 북구 흥해읍 매산길24번길 18,3,2025-08-14
진형농장,한우,경상북도 포항시 북구 기계면 내단리 1088번지 198호  ,경상북도 포항시 북구 기계면 새마을로1525번길 147-51,4,2025-08-14
태용농장,한우,경상북도 포항시 북구 기계면 화대리 339번지 4호  ,경상북도 포항시 북구 기계면 화대길 103-11,4,2025-08-14
원문농장,한우,경상북도 포항시 북구 기계면 화대리 347번지 1호  ,경상북도 포항시 북구 기계면 화대길106번길 3,3,2025-08-14
태자농장,한우,경상북도 포항시 북구 기계면 화대리 339번지 2호  ,경상북도 포항시 북구 기계면 화대길 103-17,4,2025-08-14
우기농장,한우,경상북도 포항시 북구 기계면 구지리 116번지  ,경상북도 포항시 북구 기계면 새마을로 2280-30,30,2025-08-14
호주농장,한우,경상북도 포항시 북구 기계면 봉계리 961번지  ,경상북도 포항시 북구 기계면 봉계길231번길 12,3,2025-08-14
남영농장,한우,경상북도 포항시 북구 기계면 봉계리 801번지  ,경상북도 포항시 북구 기계면 봉계길 126,5,2025-08-14
장동농장,한우,경상북도 포항시 북구 기계면 지가리 802번지 1호  ,경상북도 포항시 북구 기계면 기계로486번길 6-1,5,2025-08-14
연규농장,한우,경상북도 포항시 북구 기계면 지가리 143번지 5호  ,경상북도 포항시 북구 기계면 기계로340번길 4-1,4,2025-08-14
동혁농장,한우,경상북도 포항시 북구 기계면 지가리 656번지 2호  ,경상북도 포항시 북구 기계면 봉덕길 50-15,24,2025-08-14
후동농장,한우,경상북도 포항시 북구 기계면 지가리 719번지  ,경상북도 포항시 북구 기계면 기계로 517-4,5,2025-08-14
중락농장,한우,경상북도 포항시 북구 기계면 계전리 275번지  ,,5,2025-08-14
인준농장,한우,경상북도 포항시 북구 기계면 계전리 164번지 3호  ,경상북도 포항시 북구 기계면 계전길 109,4,2025-08-14
상덕농장,한우,경상북도 포항시 북구 기계면 계전리 107번지  ,경상북도 포항시 북구 기계면 계전길118번길 2,3,2025-08-14
장원농장,한우,경상북도 포항시 북구 기계면 화봉리 345번지  ,경상북도 포항시 북구 기계면 기동지길 185-1,30,2025-08-14
영석농장,한우,경상북도 포항시 북구 기계면 화봉리 565번지  ,,2,2025-08-14
성자농장,한우,경상북도 포항시 북구 기계면 화봉리 759번지  ,경상북도 포항시 북구 기계면 기동지길215번길 40-9,5,2025-08-14
병락농장,한우,경상북도 포항시 북구 기계면 화봉리 78번지  ,경상북도 포항시 북구 기계면 기동지길 397,4,2025-08-14
금정사슴농장,사슴,경상북도 포항시 북구 죽장면 하사리 114번지 2호  ,경상북도 포항시 북구 죽장면 병보천길 670,5,2025-08-14
성진농장,한우,경상북도 포항시 북구 죽장면 상옥리 831번지 1호  ,경상북도 포항시 북구 죽장면 죽장로 1782-8,11,2025-08-14
서촌농장,한우,경상북도 포항시 남구 장기면 서촌리 840번지  ,,1,2025-08-14
말골농장,한우,경상북도 포항시 남구 장기면 신계리 306번지  ,경상북도 포항시 남구 장기면 장기로878번길 95,6,2025-08-14
홍계농장,한우,경상북도 포항시 남구 대송면 홍계리 19번지  ,경상북도 포항시 남구 대송면 홍계길 267-10,10,2025-08-14
규정농장,한우,경상북도 포항시 북구 청하면 유계리 381번지  ,,5,2025-08-14
태식농장,한우,경상북도 포항시 북구 청하면 덕성리  ,경상북도 포항시 북구 청하면 청하로217번길 40-13,2,2025-08-14
LHD농장,한우,경상북도 포항시 북구 기계면 화대리 227번지  ,경상북도 포항시 북구 기계면 기동지길 121-6,8,2025-08-14
윤억수농장,한우,경상북도 포항시 북구 기계면 화대리 309번지 3호  ,경상북도 포항시 북구 기계면 화대길114번길 5,4,2025-08-14
민우농장,한우,경상북도 포항시 북구 기계면 현내리 777번지 6호  ,경상북도 포항시 북구 기계면 기계로134번길 27-2,4,2025-08-14
임하농장,한우,경상북도 포항시 북구 기계면 학야리 440번지 2호  ,경상북도 포항시 북구 기계면 학야길 192,4,2025-08-14
오늘도 푸른 한우농장,한우,경상북도 포항시 북구 기계면 내단리 379번지  ,경상북도 포항시 북구 기계면 새마을로 1495-50,70,2025-08-14
기연농장,한우,경상북도 포항시 북구 기계면 문성리 540번지  ,경상북도 포항시 북구 기계면 새마을발상지길145번길 6,4,2025-08-14
창실농장,한우,경상북도 포항시 북구 기계면 문성리 488번지 2호  ,경상북도 포항시 북구 기계면 새마을발상지길116번길 55-7,16,2025-08-14
복기농장,한우,경상북도 포항시 북구 기계면 성계리 551번지  ,경상북도 포항시 북구 기계면 성계길 61,4,2025-08-14
명용농장,한우,경상북도 포항시 북구 기계면 성계리 298번지 1호  ,경상북도 포항시 북구 기계면 성계길128번길 62,0,2025-08-14
철복농장,한우,경상북도 포항시 북구 기계면 고지리 99번지  ,,8,2025-08-14
문성농장,한우,경상북도 포항시 북구 기계면 문성리 456번지 1호  ,경상북도 포항시 북구 기계면 새마을발상지길116번길 73,10,2025-08-14
대곡농장,한우,경상북도 포항시 남구 장기면 대곡리 196번지 1호  ,경상북도 포항시 남구 장기면 장기로 986-1,4,2025-08-14
완석농장,한우,경상북도 포항시 북구 기계면 지가리 941번지  ,경상북도 포항시 북구 기계면 기계로526번길 3-8,5,2025-08-14
염소연구소,산양,경상북도 포항시 남구 구룡포읍 구평리 906번지  ,경상북도 포항시 남구 구룡포읍 동해안로4287번길 128-11,20,2025-08-14
푸른농장,한우,경상북도 포항시 북구 기북면 대곡리 1338번지 2호  ,경상북도 포항시 북구 기북면 기북로264번길 3-1,18,2025-08-14
상봉사슴목장,사슴,경상북도 포항시 남구 동해면 신정리 474번지 1호  ,경상북도 포항시 남구 동해면 약전로115번길 24-82,13,2025-08-14
용전농장,한우,경상북도 포항시 남구 장기면 읍내리 328번지  ,경상북도 포항시 남구 장기면 읍내길77번길 56,5,2025-08-14
자연농장,한우,경상북도 포항시 북구 흥해읍 금장리 825번지  ,경상북도 포항시 북구 흥해읍 칠포로 175,15,2025-08-14
은민농장,한우,경상북도 포항시 북구 기계면 화대리 324번지 3호  ,경상북도 포항시 북구 기계면 화대길111번길 25,28,2025-08-14
성이 염소농장,산양,경상북도 포항시 북구 청하면 청진리 517번지 1호  ,,52,2025-08-14
행복농장,한우,    ,경상북도 포항시 북구 신광면 토성길83번길 64-52,15,2025-08-14
서원목장,한우,경상북도 포항시 북구 흥해읍 남송리 579번지 59호  ,경상북도 포항시 북구 흥해읍 한동로 342-43,2,2025-08-14
대발농장,한우,경상북도 포항시 북구 신광면 죽성리 30번지 외 1필(30-2번지) ,경상북도 포항시 북구 신광면 비학로855번길 23,50,2025-08-14
영포양계영농조합법인,종계/산란계,경상북도 포항시 북구 청하면 신흥리 344번지  ,경상북도 포항시 북구 청하면 사방공원길 309-80,227130,2025-08-14
가을농장,한우,경상북도 포항시 북구 기계면 고지리 832번지 1호  ,경상북도 포항시 북구 기계면 고지길 61-50,28,2025-08-14
이랴이랴 워~워,한우,경상북도 포항시 북구 기계면 내단리 363번지  ,경상북도 포항시 북구 기계면 새마을로 1495-26,13,2025-08-14
백두농장,한우,경상북도 포항시 남구 연일읍 중명리 152번지 1호  ,경상북도 포항시 남구 연일읍 부조길 176-12,80,2025-08-14
치산농장,한우,경상북도 포항시 북구 흥해읍 매산리 359번지  ,경상북도 포항시 북구 흥해읍 신흥로 656-62,12,2025-08-14
다산축산,한우,경상북도 포항시 북구 신광면 흥곡리 850번지 외 1필(851-3번지) ,경상북도 포항시 북구 신광면 흥곡길127번길 19,0,2025-08-14
대성농장,한우,경상북도 포항시 북구 신광면 냉수리 417번지  ,경상북도 포항시 북구 신광면 비학로438번길 77-51,60,2025-08-14
무성이네농장,염소,경상북도 포항시 북구 청하면 청진리 579번지  ,,60,2025-08-14
정호농장,한우,경상북도 포항시 남구 호미곶면 강사리 1031번지 4호  ,경상북도 포항시 남구 호미곶면 명월길 275,44,2025-08-14
혁이네농장,한우,경상북도 포항시 북구 기북면 대곡리 1331번지  ,경상북도 포항시 북구 기북면 기북로264번길 33-10,16,2025-08-14
최귀자농장,한우,경상북도 포항시 북구 청하면 미남리 554번지  ,,40,2025-08-14
기운찬 염소농장,염소,경상북도 포항시 북구 신광면 안덕리 217번지 4호  ,경상북도 포항시 북구 신광면 안덕길55번길 41-71,280,2025-08-14
비학농장,한우,경상북도 포항시 북구 신광면 죽성리 339번지 2호  ,경상북도 포항시 북구 신광면 비학로 823-42,37,2025-08-14
보경농장,한우,경상북도 포항시 북구 신광면 우각리 398번지 3호 외1필지 ,경상북도 포항시 북구 신광면 비학로720번길 23-91,10,2025-08-14
신성농장,한우,경상북도 포항시 북구 흥해읍 양백리 594번지  ,경상북도 포항시 북구 흥해읍 용연길 85-24,96,2025-08-14
재영농장,한우,경상북도 포항시 남구 연일읍 동문리 249번지 5호  ,경상북도 포항시 남구 연일읍 철강로 60-171,56,2025-08-14
서포항 호탕농원,종계/산란계,경상북도 포항시 북구 기계면 내단리 570번지  ,,100,2025-08-14
길르앗,염소,경상북도 포항시 북구 기북면 용기리 708번지 9호  ,경상북도 포항시 북구 기북면 용기길49번길 46-17,100,2025-08-14
방자농장,한우,경상북도 포항시 북구 기북면 대곡리 1475번지 3호  ,경상북도 포항시 북구 기북면 기북로 162,3,2025-08-14
태원농장,한우,경상북도 포항시 북구 신광면 죽성리 236번지 1호  ,경상북도 포항시 북구 신광면 죽성길 56-75,38,2025-08-14
한마음농장,한우,경상북도 포항시 북구 기북면 탑정리 1049번지  ,경상북도 포항시 북구 기북면 비학산길 91-2,17,2025-08-14
육곤농장,한우,경상북도 포항시 북구 죽장면 방흥리 370번지  ,경상북도 포항시 북구 죽장면 새마을로 3916-53,2,2025-08-14
한반도 협곡농장,염소,경상북도 포항시 북구 신광면 마북리 524번지  ,,60,2025-08-14
대형농장2호,한우,경상북도 포항시 북구 신광면 흥곡리 716번지  ,경상북도 포항시 북구 신광면 흥곡길 119-106,50,2025-08-14
