사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육신고두수
임석기농장,한우,전북특별자치도 완주군 고산면 삼기리,전북특별자치도 완주군 고산면 대아저수로,10
정완주농장,한우,전북특별자치도 완주군 상관면 용암리,전북특별자치도 완주군 상관면 내아길,4
정재석농장,한우,전북특별자치도 완주군 상관면 용암리,전북특별자치도 완주군 상관면 춘향로,13
최기수농장,한우,전북특별자치도 완주군 고산면 오산리,전북특별자치도 완주군 고산면 신당길,6
조영미농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 내월길,23
어우농장,한우,전북특별자치도 완주군 고산면 어우리,전북특별자치도 완주군 고산면 고산천로,20
신한철농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 가목길,20
수정농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산예곡길,10
최소영농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 눈기러기로,15
유지태농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 수선길,5
강신종농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,9
이해중농장,한우,전북특별자치도 완주군 비봉면 수선리,,5
석이농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 화평3길,5
김평회농장,한우,전북특별자치도 완주군 화산면 와룡리,,7
구교서농장,한우,전북특별자치도 완주군 고산면 삼기리,전북특별자치도 완주군 고산면 고산천로,6
곽규섭농장,한우,전북특별자치도 완주군 비봉면 백도리,,10
강명수농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,11
유현숙농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 수선길,30
길농장,한우,전북특별자치도 완주군 고산면 삼기리,,5
이재철농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 용수번대길,10
국금동농장,한우,전북특별자치도 완주군 삼례읍 석전리,전북특별자치도 완주군 삼례읍 신수로,4
김왕흠농장,한우,전북특별자치도 완주군 구이면 안덕리,전북특별자치도 완주군 구이면 장미로,5
백차종농장,한우,전북특별자치도 완주군 구이면 안덕리,전북특별자치도 완주군 구이면 장파길,12
황해자 농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 다리,10
정다운농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 화산로,33
신용농장,한우,전북특별자치도 완주군 고산면 삼기리,전북특별자치도 완주군 고산면 고산천로,47
정세빈농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,13
유판쇠농장,한우,전북특별자치도 완주군 고산면 오산리,,3
유리농장(화산),한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,9
참샘농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,7
백형환농장,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 원성재길,15
한우농장,한우,전북특별자치도 완주군 상관면 죽림리,전북특별자치도 완주군 상관면 내정길,20
김종길농장,한우,전북특별자치도 완주군 봉동읍 은하리,전북특별자치도 완주군 봉동읍 은하길,6
윤장중농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 서봉소농길,92
정식농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지2길,15
유춘식농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,15
유병진농장,한우,전북특별자치도 완주군 고산면 소향리,전북특별자치도 완주군 고산면 운용길,20
장금호농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,36
영소 농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 밤실길,7
양충호농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 돈의길,0
이금식농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 이수백로,10
삼복농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,50
경각산유정란,종계/산란계,전북특별자치도 완주군 구이면 광곡리,전북특별자치도 완주군 구이면 불재로,2500
조산관농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지1길,5
안승우농장,한우,전북특별자치도 완주군 구이면 안덕리,전북특별자치도 완주군 구이면 원안덕길,10
천일농장,한우,전북특별자치도 완주군 삼례읍 신금리,전북특별자치도 완주군 삼례읍 별산농원길,11
웅비농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,132
최학열 농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 장승길,0
국윤호농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 상와길,12
진우네농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신공길,15
박병춘농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,60
유연수농장,한우,전북특별자치도 완주군 소양면 죽절리,,8
이존근농장,한우,전북특별자치도 완주군 고산면 율곡리,,12
김진동농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,7
박종은농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,9
이상문농장,한우,전북특별자치도 완주군 고산면 소향리,전북특별자치도 완주군 고산면 대아저수로,9
정경식농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 문장길,52
이상재농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화월정자길,20
화랑 Farm,육우,전북특별자치도 완주군 봉동읍 구암리,전북특별자치도 완주군 봉동읍 구정3길,5
김선자농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,2
이경서농장,한우,전북특별자치도 완주군 고산면 소향리,전북특별자치도 완주군 고산면 대아저수로,7
이인섭농장,한우,전북특별자치도 완주군 고산면 어우리,,5
이용준농장,한우,전북특별자치도 완주군 삼례읍 석전리,전북특별자치도 완주군 삼례읍 신수로,2
이종태농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,19
김길문농장,돼지,전북특별자치도 완주군 구이면 항가리,,30
장현상농장,한우,전북특별자치도 완주군 고산면 삼기리,전북특별자치도 완주군 고산면 하삼길,2
김종길 농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지2길,25
이전농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 구상중하길,20
정정순농장,한우,전북특별자치도 완주군 상관면 죽림리,전북특별자치도 완주군 상관면 내정길,12
이정기농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 하용길,5
김봉진농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,16
이경규농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉로,7
화산골힐링농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 고내곡로,30
혜성농장,한우,전북특별자치도 완주군 고산면 오산리,,4
김채석농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지1길,2
임재웅농장,한우,전북특별자치도 완주군 소양면 신원리,전북특별자치도 완주군 소양면 신원상리,40
한왕수농장,한우,전북특별자치도 완주군 화산면 화평리,,2
조원복농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 가정길,7
김문환농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 가정길,9
오영택농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,240
박경순농장,한우,전북특별자치도 완주군 고산면 양야리,전북특별자치도 완주군 고산면 양화로,14
원우농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,250
오순성농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,6
조완식농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,4
전병호 농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 담곡길,9
은상농장,한우,전북특별자치도 완주군 봉동읍 은하리,전북특별자치도 완주군 봉동읍 은하길,9
창화농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,27
오기용 농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,10
서승복 농장,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 승치로,35
형제농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉신기길,9
성빈농장,한우,전북특별자치도 완주군 비봉면 소농리,,14
송진희 농장,한우,전북특별자치도 완주군 삼례읍 신탁리,전북특별자치도 완주군 삼례읍 과학로,4
호성축산,염소,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 성재길,200
백중기 농장,한우,전북특별자치도 완주군 화산면 화월리,,13
임영자 농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,24
강일석 농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,42
광희 농가,돼지,전북특별자치도 완주군 삼례읍 수계리,전북특별자치도 완주군 삼례읍 신수로,450
김성태 농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 누하길,38
평화농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,260
화산농장3,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,100
미남농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 미남길,25
차진갑 농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 미남길,14
대흥 농장,한우,전북특별자치도 완주군 소양면 대흥리,전북특별자치도 완주군 소양면 대흥봉덕길,5
문홍섭 농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지2길,14
화월그린농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화산남로,30
그린한우농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,15
이시영농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 천호로,2
크라운농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,13
부자농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 담곡길,32
용선농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 창곡대서길,27
농업회사법인(주)지산씨엔에프,종계/산란계,전북특별자치도 완주군 이서면 이문리,,18000
에벤에셀,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 화전2길,10
국현철 농장,한우,전북특별자치도 완주군 비봉면 백도리,,3
박일진농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화월정자길,50
샬롬농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 누하길,60
이창열농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 창곡대서길,43
유영태 농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,33
정은숙 농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,2
국승선농장,한우,전북특별자치도 완주군 비봉면 백도리,,4
김봉배 농장,한우,전북특별자치도 완주군 소양면 화심리,전북특별자치도 완주군 소양면 전진로,11
선우농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,190
용전목장,한우,전북특별자치도 완주군 삼례읍 하리,전북특별자치도 완주군 삼례읍 용전길,7
만운농장,한우,전북특별자치도 완주군 구이면 덕천리,전북특별자치도 완주군 구이면 덕평로,3
성일농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,70
영광농장,한우,전북특별자치도 완주군 삼례읍 구와리,전북특별자치도 완주군 삼례읍 버드리,3
김종백농장,한우,전북특별자치도 완주군 봉동읍 장기리,전북특별자치도 완주군 봉동읍 봉동로,17
국평호 농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 수실길,3
김진만 농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,10
유영오 농장,한우,전북특별자치도 완주군 봉동읍 율소리,전북특별자치도 완주군 봉동읍 봉담길,8
이승구 농장,한우,전북특별자치도 완주군 봉동읍 구암리,전북특별자치도 완주군 봉동읍 우주로,6
서민식농장,한우,전북특별자치도 완주군 화산면 성북리,,46
부자농장,한우,전북특별자치도 완주군 삼례읍 신금리,,21
이원흥 농장,젖소,전북특별자치도 완주군 용진읍 상운리,전북특별자치도 완주군 용진읍 상운길,23
백응용 농장,한우,전북특별자치도 완주군 화산면 성북리,,49
유춘옥농장 2,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,50
이정수농장 3,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,91
임태현 농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,80
배종훈 농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 산시길,22
김종규 농장,한우,전북특별자치도 완주군 상관면 죽림리,전북특별자치도 완주군 상관면 북치길,37
이임표농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 문장길,9
유리농장(비봉),한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 반곡서원길,13
김순자농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,9
소병래 농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 천호로,0
유일농장,한우,전북특별자치도 완주군 봉동읍 구암리,,33
장익성 농장,한우,전북특별자치도 완주군 고산면 화정리,전북특별자치도 완주군 고산면 화정동곡길,37
기독교농촌개발원,종계/산란계,전북특별자치도 완주군 이서면 이문리,전북특별자치도 완주군 이서면 금백로,1000
김용선 농장,육계,전북특별자치도 완주군 삼례읍 하리,전북특별자치도 완주군 삼례읍 하리,150
최판교농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 원서봉길,10
박은출 농장,젖소,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 구상중하길,65
서진석농장,한우,전북특별자치도 완주군 구이면 덕천리,전북특별자치도 완주군 구이면 덕천구암2길,6
유춘옥농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 석천길,47
1004농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,0
장중철 농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 상호길,19
박선순 농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,17
산들맘농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,78
김영범농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,70
최병철 농장,한우,전북특별자치도 완주군 운주면 구제리,,40
한울농원,종계/산란계,전북특별자치도 완주군 비봉면 소농리,,4000
태양목장,젖소,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 이수백로,110
김석중농장,한우,전북특별자치도 완주군 고산면 어우리,전북특별자치도 완주군 고산면 봉산길,8
창성농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 이수백로,71
형제농장,한우,전북특별자치도 완주군 상관면 죽림리,전북특별자치도 완주군 상관면 내정길,30
고산 메추리농장,메추리,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 제비실길,120000
미소축산 농업회사법인 주식회사,메추리,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 화전1길,200000
행복농장 6,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,130
송경수농장,한우,    ,전북특별자치도 완주군 삼례읍 별산농원길,6
양소학 농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 석천길,21
효천농장,육계,전북특별자치도 완주군 고산면 오산리,전북특별자치도 완주군 고산면 고산로,85000
두메농장,육계,전북특별자치도 완주군 고산면 오산리,전북특별자치도 완주군 고산면 고산로,20000
준성농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,55
화산골2농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,95
요제농장,육계,전북특별자치도 완주군 소양면 해월리,전북특별자치도 완주군 소양면 원암로,35000
우리목장,젖소,전북특별자치도 완주군 소양면 신원리,,163
정규농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 문장길,40
철준사슴목장,사슴,전북특별자치도 완주군 소양면 신촌리,전북특별자치도 완주군 소양면 삼중길,18
진형농장,한우,전북특별자치도 완주군 상관면 죽림리,전북특별자치도 완주군 상관면 내정길,70
토종농장,산양,전북특별자치도 완주군 비봉면 소농리,,400
무련농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,21
정은네 농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,17
행복농장 2,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,120
이두현농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,60
농촌진흥청 축산과학원,한우,전북특별자치도 완주군 이서면 금평리,전북특별자치도 완주군 이서면 콩쥐팥쥐로,261
청년 베리팜,염소,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 율백로,80
송영춘,한우,전북특별자치도 완주군 봉동읍 구미리,전북특별자치도 완주군 봉동읍 주동길,4
대건농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,76
김상중농장,산양,전북특별자치도 완주군 화산면 운산리,,50
구광회농장,산양,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화산남로,60
김학렬 남봉농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,150
정도중농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,20
황소농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 이수백로,115
자띠골농원,종계/산란계,전북특별자치도 완주군 용진읍 상삼리,전북특별자치도 완주군 용진읍 상삼용암2길,1700
행운유정란,종계/산란계,전북특별자치도 완주군 용진읍 상운리,,400
김옥자농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉신기길,135
완주농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉로,30
송석환농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 장승길,7
상삼농장,산양,전북특별자치도 완주군 봉동읍 구암리,전북특별자치도 완주군 봉동읍 우주로,26
참조은농장,종계/산란계,전북특별자치도 완주군 용진읍 구억리,,300
김용범농장 2,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,26
크로바 농장,육계,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,230000
백복현농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,15
민들레동산영농조합 화산점,산양,전북특별자치도 완주군 화산면 종리,,100
베드로목장2,육우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,27
장명세농장,한우,전북특별자치도 완주군 고산면 양야리,,5
요한농장,산양,전북특별자치도 완주군 고산면 성재리,,20
대수농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,25
원심흑염소농장,염소,전북특별자치도 완주군 비봉면 백도리,,100
동찬한우,한우,전북특별자치도 완주군 소양면 명덕리,전북특별자치도 완주군 소양면 일임길,17
해뜨는농장,육계,전북특별자치도 완주군 동상면 수만리,전북특별자치도 완주군 동상면 수만길,0
유희준농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지1길,3
미소농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉로,0
하은농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉로,100
대둔산관광농원 염소농장,염소,전북특별자치도 완주군 운주면 장선리,,120
건강이농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,47
박혁규농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 가정길,13
천호농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,136
이해수농장2,한우,전북특별자치도 완주군 화산면 화평리,,185
이두현농장2,한우,전북특별자치도 완주군 고산면 남봉리,,100
연옥농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉로,30
전북미경산한우협동조합,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉로,309
장미현농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,72
달뱅이농장,종계/산란계,전북특별자치도 완주군 용진읍 구억리,,240
필립보농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,17
송원농장,육계,전북특별자치도 완주군 운주면 구제리,전북특별자치도 완주군 운주면 원구제길,100
해인농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,0
백준기농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 창곡대서길,0
배재문 농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 금곡길,0
드림꽃사슴,사슴,전북특별자치도 완주군 이서면 이문리,전북특별자치도 완주군 이서면 이문길,80
최대운남봉농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,180
만덕농장,한우,전북특별자치도 완주군 상관면 마치리,전북특별자치도 완주군 상관면 만덕산길,10
김한곤농장,한우,전북특별자치도 완주군 상관면 용암리,전북특별자치도 완주군 상관면 마자길,1
금섭농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,98
송정운농장,한우,전북특별자치도 완주군 경천면 가천리,전북특별자치도 완주군 경천면 경가천길,6
산마루 농장,한우,전북특별자치도 완주군 비봉면 소농리,전북특별자치도 완주군 비봉면 문장길,251
필농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지2길,20
옥자농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,44
락근농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 서봉소농길,16
삼복농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,258
양소학농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 석천길,20
삼복농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,113
호남선 농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 눈기러기로,11
수양산 한우농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 가목길,60
구암농장,한우,전북특별자치도 완주군 봉동읍 구암리,전북특별자치도 완주군 봉동읍 원구암길,4
제일축산,한우,전북특별자치도 완주군 이서면 이성리,전북특별자치도 완주군 이서면 선비로,8
곤동농장,염소,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 수선길,200
동례농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 눈기러기로,2
방골농장 3,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,80
천명희 농장,한우,전북특별자치도 완주군 삼례읍 해전리,전북특별자치도 완주군 삼례읍 해전1길,90
지등농장,한우,전북특별자치도 완주군 구이면 덕천리,,10
대호축산,한우,전북특별자치도 완주군 상관면 죽림리,전북특별자치도 완주군 상관면 내정길,20
소망축산,한우,전북특별자치도 완주군 고산면 양야리,전북특별자치도 완주군 고산면 양화로,19
덕산농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,129
장균덕 농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 수실길,3
쑤니네 농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 눈기러기로,25
국민수농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,30
임흥권농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 이수백로,2
예림농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 서봉소농길,12
대규농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,0
도담농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉로,10
태양농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 수선길,20
샘물농장 2,육우,전북특별자치도 완주군 봉동읍 구암리,전북특별자치도 완주군 봉동읍 통샘길,38
박종석 농장 2,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,10
미서농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,10
배남농장 2,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 대치로,40
지윤농장,한우,전북특별자치도 완주군 화산면 종리,전북특별자치도 완주군 화산면 운제로,28
종혁농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,4
진희네 농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,10
국민수 농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,50
부자농장,염소,전북특별자치도 완주군 고산면 화정리,전북특별자치도 완주군 고산면 화정동곡길,150
조종환농장,한우,전북특별자치도 완주군 이서면 이문리,전북특별자치도 완주군 이서면 이문길,20
곤동농장 2,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 눈기러기로,10
현이농장,염소,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 화산로,100
아침농장,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 화전2길,11
의홍이 농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 대치로,5
김중배 농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,70
